tick,pack_id,pack_ext_id,event_type,event_type_u8,from_location_id,to_location_id,from_location,to_location
182,0,pack_001,VERIFY,0,2,,loc_ph_de,—
184,0,pack_001,VERIFY,0,2,,loc_ph_de,—
185,0,pack_001,VERIFY,0,2,,loc_ph_de,—
186,0,pack_001,VERIFY,0,2,,loc_ph_de,—
188,0,pack_001,VERIFY,0,2,,loc_ph_de,—
189,0,pack_001,VERIFY,0,2,,loc_ph_de,—
191,0,pack_001,VERIFY,0,2,,loc_ph_de,—
194,0,pack_001,VERIFY,0,2,,loc_ph_de,—
195,0,pack_001,VERIFY,0,2,,loc_ph_de,—
197,0,pack_001,VERIFY,0,2,,loc_ph_de,—
198,0,pack_001,VERIFY,0,2,,loc_ph_de,—
202,0,pack_001,VERIFY,0,2,,loc_ph_de,—
204,0,pack_001,VERIFY,0,2,,loc_ph_de,—
205,0,pack_001,VERIFY,0,2,,loc_ph_de,—
206,0,pack_001,VERIFY,0,2,,loc_ph_de,—
213,0,pack_001,VERIFY,0,2,,loc_ph_de,—
214,0,pack_001,VERIFY,0,2,,loc_ph_de,—
215,0,pack_001,VERIFY,0,2,,loc_ph_de,—
217,0,pack_001,VERIFY,0,2,,loc_ph_de,—
218,0,pack_001,VERIFY,0,2,,loc_ph_de,—
222,0,pack_001,VERIFY,0,2,,loc_ph_de,—
224,0,pack_001,VERIFY,0,2,,loc_ph_de,—
225,0,pack_001,VERIFY,0,2,,loc_ph_de,—
226,0,pack_001,VERIFY,0,2,,loc_ph_de,—
230,0,pack_001,VERIFY,0,2,,loc_ph_de,—
231,0,pack_001,VERIFY,0,2,,loc_ph_de,—
234,0,pack_001,VERIFY,0,2,,loc_ph_de,—
236,0,pack_001,VERIFY,0,2,,loc_ph_de,—
238,0,pack_001,VERIFY,0,2,,loc_ph_de,—
239,0,pack_001,VERIFY,0,2,,loc_ph_de,—
247,0,pack_001,VERIFY,0,2,,loc_ph_de,—
248,0,pack_001,VERIFY,0,2,,loc_ph_de,—
249,0,pack_001,VERIFY,0,2,,loc_ph_de,—
250,0,pack_001,VERIFY,0,2,,loc_ph_de,—
252,0,pack_001,VERIFY,0,2,,loc_ph_de,—
253,0,pack_001,VERIFY,0,2,,loc_ph_de,—
255,0,pack_001,VERIFY,0,2,,loc_ph_de,—
256,0,pack_001,VERIFY,0,2,,loc_ph_de,—
257,0,pack_001,VERIFY,0,2,,loc_ph_de,—
258,0,pack_001,VERIFY,0,2,,loc_ph_de,—
259,0,pack_001,VERIFY,0,2,,loc_ph_de,—
262,0,pack_001,VERIFY,0,2,,loc_ph_de,—
264,0,pack_001,VERIFY,0,2,,loc_ph_de,—
266,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
267,0,pack_001,VERIFY,0,2,,loc_ph_de,—
268,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
270,0,pack_001,VERIFY,0,2,,loc_ph_de,—
271,0,pack_001,VERIFY,0,2,,loc_ph_de,—
272,0,pack_001,VERIFY,0,2,,loc_ph_de,—
273,0,pack_001,VERIFY,0,2,,loc_ph_de,—
275,0,pack_001,VERIFY,0,2,,loc_ph_de,—
277,0,pack_001,VERIFY,0,2,,loc_ph_de,—
279,0,pack_001,VERIFY,0,2,,loc_ph_de,—
280,0,pack_001,VERIFY,0,2,,loc_ph_de,—
282,0,pack_001,VERIFY,0,2,,loc_ph_de,—
283,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
284,0,pack_001,VERIFY,0,2,,loc_ph_de,—
287,0,pack_001,VERIFY,0,2,,loc_ph_de,—
291,0,pack_001,VERIFY,0,2,,loc_ph_de,—
292,0,pack_001,VERIFY,0,2,,loc_ph_de,—
294,0,pack_001,VERIFY,0,2,,loc_ph_de,—
295,0,pack_001,VERIFY,0,2,,loc_ph_de,—
296,0,pack_001,VERIFY,0,2,,loc_ph_de,—
298,0,pack_001,VERIFY,0,2,,loc_ph_de,—
300,0,pack_001,VERIFY,0,2,,loc_ph_de,—
303,0,pack_001,VERIFY,0,2,,loc_ph_de,—
305,0,pack_001,VERIFY,0,2,,loc_ph_de,—
306,0,pack_001,VERIFY,0,2,,loc_ph_de,—
307,0,pack_001,VERIFY,0,2,,loc_ph_de,—
308,0,pack_001,VERIFY,0,2,,loc_ph_de,—
309,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
312,0,pack_001,VERIFY,0,2,,loc_ph_de,—
313,0,pack_001,VERIFY,0,2,,loc_ph_de,—
315,0,pack_001,VERIFY,0,2,,loc_ph_de,—
316,0,pack_001,VERIFY,0,2,,loc_ph_de,—
317,0,pack_001,VERIFY,0,2,,loc_ph_de,—
319,0,pack_001,VERIFY,0,2,,loc_ph_de,—
321,0,pack_001,VERIFY,0,2,,loc_ph_de,—
322,0,pack_001,VERIFY,0,2,,loc_ph_de,—
323,0,pack_001,VERIFY,0,2,,loc_ph_de,—
324,0,pack_001,VERIFY,0,2,,loc_ph_de,—
326,0,pack_001,VERIFY,0,2,,loc_ph_de,—
328,0,pack_001,VERIFY,0,2,,loc_ph_de,—
333,0,pack_001,VERIFY,0,2,,loc_ph_de,—
334,0,pack_001,VERIFY,0,2,,loc_ph_de,—
336,0,pack_001,VERIFY,0,2,,loc_ph_de,—
338,0,pack_001,VERIFY,0,2,,loc_ph_de,—
340,0,pack_001,VERIFY,0,2,,loc_ph_de,—
342,0,pack_001,VERIFY,0,2,,loc_ph_de,—
348,0,pack_001,VERIFY,0,2,,loc_ph_de,—
349,0,pack_001,VERIFY,0,2,,loc_ph_de,—
352,0,pack_001,VERIFY,0,2,,loc_ph_de,—
353,0,pack_001,VERIFY,0,2,,loc_ph_de,—
354,0,pack_001,VERIFY,0,2,,loc_ph_de,—
355,0,pack_001,VERIFY,0,2,,loc_ph_de,—
356,0,pack_001,VERIFY,0,2,,loc_ph_de,—
358,0,pack_001,VERIFY,0,2,,loc_ph_de,—
359,0,pack_001,VERIFY,0,2,,loc_ph_de,—
360,0,pack_001,VERIFY,0,2,,loc_ph_de,—
361,0,pack_001,VERIFY,0,2,,loc_ph_de,—
362,0,pack_001,VERIFY,0,2,,loc_ph_de,—
363,0,pack_001,VERIFY,0,2,,loc_ph_de,—
364,0,pack_001,VERIFY,0,2,,loc_ph_de,—
365,0,pack_001,VERIFY,0,2,,loc_ph_de,—
371,0,pack_001,VERIFY,0,2,,loc_ph_de,—
372,0,pack_001,VERIFY,0,2,,loc_ph_de,—
373,0,pack_001,VERIFY,0,2,,loc_ph_de,—
374,0,pack_001,VERIFY,0,2,,loc_ph_de,—
375,0,pack_001,VERIFY,0,2,,loc_ph_de,—
379,0,pack_001,VERIFY,0,2,,loc_ph_de,—
380,0,pack_001,VERIFY,0,2,,loc_ph_de,—
381,0,pack_001,VERIFY,0,2,,loc_ph_de,—
389,0,pack_001,VERIFY,0,2,,loc_ph_de,—
391,0,pack_001,VERIFY,0,2,,loc_ph_de,—
394,0,pack_001,VERIFY,0,2,,loc_ph_de,—
396,0,pack_001,VERIFY,0,2,,loc_ph_de,—
401,0,pack_001,VERIFY,0,2,,loc_ph_de,—
403,0,pack_001,VERIFY,0,2,,loc_ph_de,—
408,0,pack_001,VERIFY,0,2,,loc_ph_de,—
409,0,pack_001,VERIFY,0,2,,loc_ph_de,—
412,0,pack_001,VERIFY,0,2,,loc_ph_de,—
414,0,pack_001,VERIFY,0,2,,loc_ph_de,—
415,0,pack_001,VERIFY,0,2,,loc_ph_de,—
417,0,pack_001,VERIFY,0,2,,loc_ph_de,—
420,0,pack_001,VERIFY,0,2,,loc_ph_de,—
422,0,pack_001,VERIFY,0,2,,loc_ph_de,—
423,0,pack_001,VERIFY,0,2,,loc_ph_de,—
424,0,pack_001,VERIFY,0,2,,loc_ph_de,—
426,0,pack_001,VERIFY,0,2,,loc_ph_de,—
427,0,pack_001,VERIFY,0,2,,loc_ph_de,—
428,0,pack_001,VERIFY,0,2,,loc_ph_de,—
432,0,pack_001,VERIFY,0,2,,loc_ph_de,—
434,0,pack_001,VERIFY,0,2,,loc_ph_de,—
436,0,pack_001,VERIFY,0,2,,loc_ph_de,—
437,0,pack_001,VERIFY,0,2,,loc_ph_de,—
438,0,pack_001,VERIFY,0,2,,loc_ph_de,—
440,0,pack_001,VERIFY,0,2,,loc_ph_de,—
441,0,pack_001,VERIFY,0,2,,loc_ph_de,—
442,0,pack_001,VERIFY,0,2,,loc_ph_de,—
443,0,pack_001,VERIFY,0,2,,loc_ph_de,—
444,0,pack_001,VERIFY,0,2,,loc_ph_de,—
445,0,pack_001,VERIFY,0,2,,loc_ph_de,—
448,0,pack_001,VERIFY,0,2,,loc_ph_de,—
450,0,pack_001,VERIFY,0,2,,loc_ph_de,—
451,0,pack_001,VERIFY,0,2,,loc_ph_de,—
452,0,pack_001,VERIFY,0,2,,loc_ph_de,—
453,0,pack_001,VERIFY,0,2,,loc_ph_de,—
457,0,pack_001,VERIFY,0,2,,loc_ph_de,—
458,0,pack_001,VERIFY,0,2,,loc_ph_de,—
461,0,pack_001,VERIFY,0,2,,loc_ph_de,—
463,0,pack_001,VERIFY,0,2,,loc_ph_de,—
467,0,pack_001,VERIFY,0,2,,loc_ph_de,—
468,0,pack_001,VERIFY,0,2,,loc_ph_de,—
469,0,pack_001,VERIFY,0,2,,loc_ph_de,—
470,0,pack_001,VERIFY,0,2,,loc_ph_de,—
474,0,pack_001,VERIFY,0,2,,loc_ph_de,—
475,0,pack_001,VERIFY,0,2,,loc_ph_de,—
477,0,pack_001,VERIFY,0,2,,loc_ph_de,—
478,0,pack_001,VERIFY,0,2,,loc_ph_de,—
479,0,pack_001,VERIFY,0,2,,loc_ph_de,—
480,0,pack_001,VERIFY,0,2,,loc_ph_de,—
483,0,pack_001,VERIFY,0,2,,loc_ph_de,—
484,0,pack_001,VERIFY,0,2,,loc_ph_de,—
485,0,pack_001,VERIFY,0,2,,loc_ph_de,—
486,0,pack_001,VERIFY,0,2,,loc_ph_de,—
487,0,pack_001,VERIFY,0,2,,loc_ph_de,—
